1,2,161
1,3,34
1,4,203
1,5,194
1,6,202
1,7,210
1,8,181
1,9,235
1,10,73
1,11,161
1,12,156
1,13,83
1,14,139
1,15,66
1,16,91
1,17,103
1,18,117
1,19,189
1,20,299
1,21,108
1,22,104
1,23,121
1,24,99
1,25,43
1,26,6
1,27,163
1,28,48
1,29,113
1,30,284
2,3,17
2,4,1089
2,5,100
2,6,68
2,7,714
2,8,85
2,9,24
2,10,103
2,11,954
2,12,38
2,13,563
2,14,32
2,15,21
2,16,46
2,17,8
2,18,1262
2,19,516
2,20,172
2,21,17
2,22,106
2,23,471
2,24,83
2,25,24
2,27,73
2,28,10
2,29,72
2,30,239
3,4,17
3,5,8
3,6,118
3,7,24
3,8,17
3,9,16
3,10,40
3,11,29
3,12,9
3,13,15
3,14,11
3,15,116
3,16,149
3,17,2
3,18,17
3,19,36
3,20,15
3,21,18
3,22,71
3,23,39
3,24,136
3,25,8
3,26,4
3,27,220
3,28,6
3,29,247
3,30,71
4,5,212
4,6,71
4,7,1270
4,8,122
4,9,17
4,10,147
4,11,938
4,12,114
4,13,789
4,14,53
4,15,15
4,16,48
4,17,13
4,18,1341
4,19,495
4,20,370
4,21,15
4,22,146
4,23,570
4,24,103
4,25,31
4,26,1
4,27,71
4,28,8
4,29,70
4,30,287
5,6,21
5,7,155
5,8,407
5,9,57
5,10,45
5,11,72
5,12,139
5,13,44
5,14,110
5,15,22
5,16,28
5,17,23
5,18,73
5,19,75
5,20,700
5,21,18
5,22,57
5,23,61
5,24,36
5,25,14
5,26,4
5,27,16
5,28,26
5,29,21
5,30,76
6,7,103
6,8,71
6,9,48
6,10,39
6,11,90
6,12,47
6,13,39
6,14,39
6,15,76
6,16,105
6,17,30
6,18,48
6,19,131
6,20,47
6,21,98
6,22,41
6,23,82
6,24,66
6,25,103
6,26,3
6,27,813
6,28,21
6,29,172
6,30,206
7,8,194
7,9,44
7,10,118
7,11,792
7,12,95
7,13,298
7,14,91
7,15,24
7,16,61
7,17,15
7,18,520
7,19,479
7,20,346
7,21,22
7,22,104
7,23,626
7,24,136
7,25,44
7,26,3
7,27,73
7,28,18
7,29,77
7,30,377
8,9,142
8,10,44
8,11,68
8,12,223
8,13,33
8,14,459
8,15,52
8,16,61
8,17,60
8,18,66
8,19,72
8,20,462
8,21,71
8,22,40
8,23,62
8,24,59
8,25,56
8,26,8
8,27,41
8,28,102
8,29,51
8,30,98
9,10,17
9,11,17
9,12,231
9,13,10
9,14,214
9,15,110
9,16,42
9,17,138
9,18,20
9,19,26
9,20,95
9,21,363
9,22,37
9,23,17
9,24,32
9,25,35
9,26,11
9,27,37
9,28,235
9,29,45
9,30,34
10,11,155
10,12,8
10,13,105
10,14,29
10,15,60
10,16,80
10,17,1
10,18,156
10,19,114
10,20,58
10,21,9
10,22,896
10,23,163
10,24,108
10,25,26
10,26,1
10,27,33
10,28,4
10,29,107
10,30,83
11,12,23
11,13,498
11,14,30
11,15,26
11,16,55
11,17,8
11,18,1099
11,19,708
11,20,118
11,21,10
11,22,154
11,23,773
11,24,133
11,25,30
11,27,108
11,28,7
11,29,104
11,30,387
12,13,17
12,14,317
12,15,31
12,16,24
12,17,181
12,18,21
12,19,44
12,20,320
12,21,113
12,22,14
12,23,21
12,24,27
12,25,24
12,26,6
12,27,54
12,28,262
12,29,5
12,30,42
13,14,10
13,15,17
13,16,29
13,17,4
13,18,941
13,19,322
13,20,64
13,21,9
13,22,94
13,23,386
13,24,67
13,25,15
13,26,1
13,27,48
13,28,4
13,29,54
13,30,162
14,15,87
14,16,52
14,17,96
14,18,23
14,19,34
14,20,150
14,21,89
14,22,34
14,23,28
14,24,41
14,25,43
14,26,9
14,27,45
14,28,187
14,29,36
14,30,51
15,16,248
15,17,16
15,18,19
15,19,30
15,20,26
15,21,87
15,22,58
15,23,33
15,24,169
15,25,37
15,26,8
15,27,75
15,28,54
15,29,164
15,30,42
16,17,9
16,18,44
16,19,67
16,20,27
16,21,33
16,22,80
16,23,93
16,24,442
16,25,17
16,26,3
16,27,121
16,28,18
16,29,383
16,30,132
17,18,4
17,19,8
17,20,55
17,21,60
17,22,9
17,23,8
17,24,5
17,25,15
17,26,8
17,27,23
17,28,74
17,29,8
17,30,19
18,19,483
18,20,133
18,21,13
18,22,136
18,23,583
18,24,109
18,25,22
18,27,64
18,28,4
18,29,86
18,30,238
19,20,129
19,21,15
19,22,127
19,23,472
19,24,117
19,25,39
19,27,187
19,28,9
19,29,95
19,30,521
20,21,34
20,22,79
20,23,116
20,24,58
20,25,16
20,26,4
20,27,35
20,28,42
20,29,36
20,30,109
21,22,17
21,23,10
21,24,21
21,25,70
21,26,11
21,27,80
21,28,81
21,29,36
21,30,25
22,23,115
22,24,129
22,25,12
22,27,46
22,28,9
22,29,131
22,30,118
23,24,169
23,25,43
23,27,108
23,28,5
23,29,118
23,30,341
24,25,15
24,26,3
24,27,89
24,28,16
24,29,315
24,30,209
25,27,70
25,28,14
25,29,24
25,30,38
26,27,3
26,28,4
26,29,3
26,30,1
27,28,19
27,29,194
27,30,329
28,29,16
28,30,16
29,30,196
